date,country,confirmed,recovered,deaths,serial
1/22/2020,Pakistan,0,0,0,1
1/23/2020,Pakistan,0,0,0,2
1/24/2020,Pakistan,0,0,0,3
1/25/2020,Pakistan,0,0,0,4
1/26/2020,Pakistan,0,0,0,5
1/27/2020,Pakistan,0,0,0,6
1/28/2020,Pakistan,0,0,0,7
1/29/2020,Pakistan,0,0,0,8
1/30/2020,Pakistan,0,0,0,9
1/31/2020,Pakistan,0,0,0,10
2/1/2020,Pakistan,0,0,0,11
2/2/2020,Pakistan,0,0,0,12
2/3/2020,Pakistan,0,0,0,13
2/4/2020,Pakistan,0,0,0,14
2/5/2020,Pakistan,0,0,0,15
2/6/2020,Pakistan,0,0,0,16
2/7/2020,Pakistan,0,0,0,17
2/8/2020,Pakistan,0,0,0,18
2/9/2020,Pakistan,0,0,0,19
2/10/2020,Pakistan,0,0,0,20
2/11/2020,Pakistan,0,0,0,21
2/12/2020,Pakistan,0,0,0,22
2/13/2020,Pakistan,0,0,0,23
2/14/2020,Pakistan,0,0,0,24
2/15/2020,Pakistan,0,0,0,25
2/16/2020,Pakistan,0,0,0,26
2/17/2020,Pakistan,0,0,0,27
2/18/2020,Pakistan,0,0,0,28
2/19/2020,Pakistan,0,0,0,29
2/20/2020,Pakistan,0,0,0,30
2/21/2020,Pakistan,0,0,0,31
2/22/2020,Pakistan,0,0,0,32
2/23/2020,Pakistan,0,0,0,33
2/24/2020,Pakistan,0,0,0,34
2/25/2020,Pakistan,2,0,0,35
2/26/2020,Pakistan,2,0,0,36
2/27/2020,Pakistan,2,0,0,37
2/28/2020,Pakistan,4,0,0,38
2/29/2020,Pakistan,4,0,0,39
3/1/2020,Pakistan,4,0,0,40
3/2/2020,Pakistan,5,0,0,41
3/3/2020,Pakistan,5,0,0,42
3/4/2020,Pakistan,5,0,0,43
3/5/2020,Pakistan,6,0,0,44
3/6/2020,Pakistan,6,0,0,45
3/7/2020,Pakistan,6,1,0,46
3/8/2020,Pakistan,6,1,0,47
3/9/2020,Pakistan,16,1,0,48
3/10/2020,Pakistan,19,2,0,49
3/11/2020,Pakistan,20,2,0,50
3/12/2020,Pakistan,28,2,0,51
3/13/2020,Pakistan,31,2,0,52
3/14/2020,Pakistan,53,2,0,53
3/15/2020,Pakistan,136,2,0,54
3/16/2020,Pakistan,236,2,0,55
3/17/2020,Pakistan,299,2,0,56
3/18/2020,Pakistan,454,13,2,57
3/19/2020,Pakistan,501,13,3,58
3/20/2020,Pakistan,730,13,3,59
3/21/2020,Pakistan,776,5,5,60
3/22/2020,Pakistan,875,5,6,61
3/23/2020,Pakistan,972,18,7,62
3/24/2020,Pakistan,1063,21,8,63
3/25/2020,Pakistan,1201,21,9,64
3/26/2020,Pakistan,1373,23,11,65
3/27/2020,Pakistan,1495,29,12,66
3/28/2020,Pakistan,1597,29,14,67
3/29/2020,Pakistan,1717,76,21,68
3/30/2020,Pakistan,1938,76,26,69
3/31/2020,Pakistan,2118,94,27,70
4/1/2020,Pakistan,2421,125,34,71
4/2/2020,Pakistan,2686,126,40,72
4/3/2020,Pakistan,2818,131,41,73
4/4/2020,Pakistan,3157,211,47,74
4/5/2020,Pakistan,3766,259,53,75
4/6/2020,Pakistan,4035,429,57,76
4/7/2020,Pakistan,4263,467,61,77
4/8/2020,Pakistan,4489,572,65,78
4/9/2020,Pakistan,4695,727,66,79
4/10/2020,Pakistan,5011,762,86,80
4/11/2020,Pakistan,5230,1028,91,81
4/12/2020,Pakistan,5496,1095,93,82
4/13/2020,Pakistan,5837,1378,96,83
4/14/2020,Pakistan,6383,1446,111,84
4/15/2020,Pakistan,6919,1645,128,85
4/16/2020,Pakistan,7025,1765,135,86
4/17/2020,Pakistan,7638,1832,143,87
4/18/2020,Pakistan,8348,1868,168,88
4/19/2020,Pakistan,8418,1970,176,89
4/20/2020,Pakistan,9565,2073,201,90
4/21/2020,Pakistan,10076,2156,212,91
4/22/2020,Pakistan,11155,2527,237,92
4/23/2020,Pakistan,11940,2755,253,93
4/24/2020,Pakistan,12723,2866,269,94
4/25/2020,Pakistan,13328,2936,281,95
4/26/2020,Pakistan,13915,3029,292,96
4/27/2020,Pakistan,14612,3233,312,97
4/28/2020,Pakistan,15525,3425,343,98
4/29/2020,Pakistan,16817,4315,385,99
4/30/2020,Pakistan,18114,4715,417,100
5/1/2020,Pakistan,19103,4817,440,101
5/2/2020,Pakistan,20084,5114,457,102
5/3/2020,Pakistan,20941,5635,476,103
5/4/2020,Pakistan,22049,5801,514,104
5/5/2020,Pakistan,24073,6464,564,105
5/6/2020,Pakistan,24644,6464,585,106
5/7/2020,Pakistan,26435,7530,599,107
5/8/2020,Pakistan,28736,7809,636,108
5/9/2020,Pakistan,30334,8063,659,109
5/10/2020,Pakistan,32081,8555,706,110
5/11/2020,Pakistan,34336,8812,737,111
